Rank,CMC_ID,Name,Symbol,Slug,Price_USD,MarketCap,Volume24h,CirculatingSupply,TotalSupply,MaxSupply,DateAdded,ConfidenceScore,Confidence,Reason,BinanceSymbol,BaseAsset,QuoteAsset,AvailableMarkets,FirstHourlyCandle,LastPrice,24hVolume,Trades24h,PriceChange24h,Status
1,1,Bitcoin,BTC,bitcoin,64098.19102997804,1285854132107.7432,26262068414.44282,20060693,20060693,21000000,2010-07-13T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",BTCUSDT,BTC,USDT,BTCARS;BTCBRL;BTCEUR;BTCFDUSD;BTCIDR;BTCJPY;BTCMXN;BTCTRY;BTCU;BTCUSD;BTCUSD1;BTCUSDC;BTCUSDS;BTCUSDT,2017-08-17T04:00:00+00:00,64099.85,1088107867.1749291,2415092,-1.518,READY
2,1027,Ethereum,ETH,ethereum,1863.5531541626256,224898649376.51303,9718929342,120682712.41641596,120682712.41641596,,2015-08-07T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",ETHUSDT,ETH,USDT,ETHARS;ETHBRL;ETHBTC;ETHEUR;ETHFDUSD;ETHIDR;ETHJPY;ETHMXN;ETHTRY;ETHU;ETHUSD;ETHUSD1;ETHUSDC;ETHUSDS;ETHUSDT,2017-08-17T04:00:00+00:00,1861.78,355222916.7,2050309,-0.75,READY
3,825,Tether USDt,USDT,tether,0.9989003854866172,1.83954E+11,53459194915.58018,184156916986.16385,1.89107E+11,,2015-02-25T00:00:00.000Z,0,,Stablecoin,,,,,,,,,,STABLECOIN_SKIP
4,1839,BNB,BNB,bnb,561.0430312593998,74711710564.15143,969887528.7118716,133165740.2,133165740.2,133165740.2,2017-07-25T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",BNBUSDT,BNB,USDT,BNBBRL;BNBBTC;BNBETH;BNBEUR;BNBFDUSD;BNBIDR;BNBJPY;BNBTRY;BNBU;BNBUSD;BNBUSD1;BNBUSDC;BNBUSDT,2017-11-06T03:00:00+00:00,565.02,52438291.96,481622,-0.589,READY
5,3408,USDC,USDC,usd-coin,0.9997375186727816,72838998331.61235,10440968211.887035,72858122228.23346,72858122228.23346,,2018-10-08T00:00:00.000Z,0,,Stablecoin,,,,,,,,,,STABLECOIN_SKIP
6,52,XRP,XRP,xrp,1.0920151062107772,68214365675.84745,1068767911.5698732,62466503703,99985639695,1E+11,2013-08-04T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",XRPUSDT,XRP,USDT,XRPBRL;XRPBTC;XRPETH;XRPEUR;XRPFDUSD;XRPIDR;XRPJPY;XRPRLUSD;XRPTRY;XRPU;XRPUSD1;XRPUSDC;XRPUSDT,2018-05-04T08:00:00+00:00,1.095,56165309.12,248275,-1.253,READY
7,5426,Solana,SOL,solana,74.05775763390751,43165658590.59717,1634107155.101445,582864779.7301612,630867434.7592477,,2020-04-10T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",SOLUSDT,SOL,USDT,SOLBNB;SOLBRL;SOLBTC;SOLETH;SOLEUR;SOLFDUSD;SOLIDR;SOLJPY;SOLMXN;SOLTRY;SOLU;SOLUSD;SOLUSD1;SOLUSDC;SOLUSDT,2020-08-11T06:00:00+00:00,74.17,108719708.1,393218,-2.369,READY
8,1958,TRON,TRX,tron,0.3304741973033983,31355002113.051605,447538602.0076323,94878820703.40738,94878822585,,2017-09-13T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",TRXUSDT,TRX,USDT,TRXBNB;TRXBTC;TRXETH;TRXEUR;TRXJPY;TRXTRY;TRXU;TRXUSD1;TRXUSDC;TRXUSDT;TRXXRP,2018-06-11T11:00:00+00:00,0.3311,26178932.51,54077,0.7,READY
9,32196,Hyperliquid,HYPE,hyperliquid,58.886327559241806,14881752977.61315,327581299.6397521,252720004.7012876,953078769.5841608,953078769.5841608,2024-07-15T10:14:50.000Z,0,,No Binance Spot Market,,,,,,,,,,NOT_LISTED
10,74,Dogecoin,DOGE,dogecoin,0.068947846,10700974985.596909,742570365.5943006,155203906383.70526,155203906383.70526,,2013-12-15T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",DOGEUSDT,DOGE,USDT,DOGEBRL;DOGEBTC;DOGEEUR;DOGEFDUSD;DOGEIDR;DOGEJPY;DOGETRY;DOGEU;DOGEUSD1;DOGEUSDC;DOGEUSDT,2019-07-05T12:00:00+00:00,0.06961,39410333.15,282808,0.389,READY
