Rank,CMC_ID,Name,Symbol,Slug,Price_USD,MarketCap,Volume24h,CirculatingSupply,TotalSupply,MaxSupply,DateAdded,ConfidenceScore,Confidence,Reason,BinanceSymbol,BaseAsset,QuoteAsset,AvailableMarkets,FirstHourlyCandle,Status
3,825,Tether USDt,USDT,tether,0.9989003854866172,183954415367.506,53459194915.58018,184156916986.16385,189106724037.452,,2015-02-25T00:00:00.000Z,0,,Stablecoin,,,,,,STABLECOIN_SKIP
5,3408,USDC,USDC,usd-coin,0.9997375186727816,72838998331.61235,10440968211.887035,72858122228.23346,72858122228.23346,,2018-10-08T00:00:00.000Z,0,,Stablecoin,,,,,,STABLECOIN_SKIP
9,32196,Hyperliquid,HYPE,hyperliquid,58.886327559241806,14881752977.61315,327581299.6397521,252720004.7012876,953078769.5841608,953078769.5841608,2024-07-15T10:14:50.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
11,3957,UNUS SED LEO,LEO,unus-sed-leo,9.611834740590382,8844131568.39621,598523.94458921,920129382.9,985239504.0,,2019-05-21T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
13,328,Monero,XMR,monero,355.7054534002795,6680910030.016881,103370894.7103792,18782141.13995822,18782141.13995822,,2014-05-21T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
17,37263,Canton,CC,canton-network,0.1189430890413582,4656156978.499743,12347042.67370367,39146090924.88535,39146090924.88535,,2025-07-08T04:07:45.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
18,4943,Dai,DAI,multi-collateral-dai,0.9997325655329956,4639396896.833623,35957274.43936529,4640637963.373919,4640637963.373919,,2019-11-22T00:00:00.000Z,0,,Stablecoin,,,,,,STABLECOIN_SKIP
21,29470,Ethena USDe,USDe,ethena-usde,0.999934212086251,3988210444.452169,29326665.05239705,3988472837.759209,3988472837.759209,,2024-02-20T11:05:01.000Z,0,,Stablecoin,,,,,,STABLECOIN_SKIP
24,33793,Global Dollar,USDG,global-dollar-usdg,0.9999574515925542,3265385639.92626,236826345.21644983,3265524582.796733,3265524582.796733,,2024-11-05T04:54:47.000Z,0,,Stablecoin,,,,,,STABLECOIN_SKIP
27,27772,PayPal USD,PYUSD,paypal-usd,0.9995644154130634,2690126172.280377,75042583.04482886,2691298460.408577,2691298460.408577,,2023-08-21T14:30:00.000Z,0,,Stablecoin,,,,,,STABLECOIN_SKIP
29,3635,Cronos,CRO,cronos,0.0565305302578294,2672479273.5467844,6311951.71278217,47274972680.388855,98808311135.61748,100000000000.0,2018-12-14T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
38,3897,OKB,OKB,okb,81.88612335514553,1719608590.4580562,17139178.11268918,21000000.0,21000000.0,21000000.0,2019-04-30T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
41,35491,MemeCore,M,memecore,1.1867947959718876,1575518647.6578794,14600158.52901356,1327540913.5643022,5394857686.071528,10000000000.0,2025-07-03T09:16:58.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
42,19891,USDD,USDD,usdd,0.9990107573545378,1537052129.8346465,18850650.02007803,1538574153.0,1538574153.0,,2022-05-02T08:07:12.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
46,27075,Mantle,MNT,mantle,0.4095859012493774,1352573220.862108,68994126.29738797,3302294382.53684,6219316794.889999,6219316795.0,2023-07-17T11:00:31.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
49,11092,Bitget Token,BGB,bitget-token-new,1.6536229280673096,1155195303.4319477,6043541.44648048,698584474.0203834,910920874.6481038,919992035.98,2021-07-29T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
54,38837,Audiera,BEAT,audiera,3.25353722798081,1006210611.204507,50608475.19164173,309266666.0,1000000000.0,1000000000.0,2025-10-30T05:07:08.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
55,38892,Stable,STABLE,stable,0.0379509724894749,940208650.1927812,13307144.20370687,24774296639.0,100000000000.0,,2025-11-06T14:24:37.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
56,35697,Pi,PI,pi,0.0831390762600913,909688801.9483387,13849950.46757804,10941771822.223265,100000000000.0,100000000000.0,2025-02-11T07:16:10.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
57,2087,KuCoin Token,KCS,kucoin-token,6.493318333129747,890591214.2606357,3365605.78159553,137155021.29577178,142155021.29577178,200000000.0,2017-10-24T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
61,20396,Kaspa,KAS,kaspa,0.027869533233771,769084095.444519,5412512.27053661,27595872847.72241,27595872847.72241,28704026601.0,2022-06-01T00:03:58.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
67,4269,GateToken,GT,gatetoken,6.641169119640235,707738357.5157454,2373188.61314746,106568338.31,140052780.28,142622843.67,2019-08-20T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
71,2634,XDC Network,XDC,xdc-network,0.0276186920112511,580412679.1014313,7150039.94849453,21015212409.95,38084428209.0,,2018-04-12T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
72,35509,Venice Token,VVV,venice-token,11.895011678068876,564322102.4757481,16001048.15015565,47441912.43764834,80654681.472761,,2025-01-28T02:53:32.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
73,7950,Flare,FLR,flare,0.0064232936477718,558165503.246657,2334448.018348,86897086425.47797,106229111430.1935,,2020-12-11T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
75,39125,Lighter,LIT,lighter,2.0820038371972736,520500959.2993184,31312867.90154256,250000000.0,1000000000.0,1000000000.0,2025-12-30T06:45:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
78,2563,TrueUSD,TUSD,trueusd,0.996107355075624,492590111.3721327,24392246.7329437,494515083.0,494515083.0,,2018-03-06T00:00:00.000Z,0,,Stablecoin,,,,,,STABLECOIN_SKIP
82,20641,EURC,EURC,euro-coin,1.138379020830554,433582212.31457335,36396948.02030881,380876847.1490581,380876847.1490581,,2022-06-16T19:13:48.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
92,26081,First Digital USD,FDUSD,first-digital-usd,0.9968815423491644,346072941.766233,172562961.14187652,347155531.589749,347155531.589749,,2023-07-26T04:26:40.000Z,0,,Stablecoin,,,,,,STABLECOIN_SKIP
97,28081,SPX6900,SPX,spx6900,0.33642224745782,313206787.72905004,5527365.76098928,930993090.07,930993090.07,1000000000.0,2023-08-17T10:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
103,9816,AINFT,NFT,apenft,2.687712259527897e-07,266111894.04872105,6826642.33907705,990105592982874.8,990105592982874.8,999990000000000.0,2021-05-14T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
104,3602,Bitcoin SV,BSV,bitcoin-sv,13.236890431263332,265534338.50696796,11478794.26406116,20060175.0,20060175.0,,2018-11-09T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
