Rank,CMC_ID,Name,Symbol,Slug,Price_USD,MarketCap,Volume24h,CirculatingSupply,TotalSupply,MaxSupply,DateAdded
1,1,Bitcoin,BTC,bitcoin,64098.191029978036,1285854132107.7432,26262068414.44282,20060693,20060693,21000000,2010-07-13T00:00:00.000Z
2,1027,Ethereum,ETH,ethereum,1863.5531541626256,224898649376.51303,9718929342,120682712.41641597,120682712.41641597,,2015-08-07T00:00:00.000Z
3,825,Tether USDt,USDT,tether,0.9989003854866171,1.83954E+11,53459194915.58018,184156916986.16385,189106724037.45197,,2015-02-25T00:00:00.000Z
4,1839,BNB,BNB,bnb,561.0430312593998,74711710564.15143,969887528.7118716,133165740.2,133165740.2,133165740.2,2017-07-25T00:00:00.000Z
5,3408,USDC,USDC,usd-coin,0.9997375186727816,72838998331.61235,10440968211.887035,72858122228.23346,72858122228.23346,,2018-10-08T00:00:00.000Z
6,52,XRP,XRP,xrp,1.0920151062107772,68214365675.84745,1068767911.5698732,62466503703,99985639695,1E+11,2013-08-04T00:00:00.000Z
7,5426,Solana,SOL,solana,74.05775763390751,43165658590.59717,1634107155.101445,582864779.7301612,630867434.7592477,,2020-04-10T00:00:00.000Z
8,1958,TRON,TRX,tron,0.3304741973033983,31355002113.051605,447538602.0076323,94878820703.40738,94878822584.63599,,2017-09-13T00:00:00.000Z
9,32196,Hyperliquid,HYPE,hyperliquid,58.886327559241806,14881752977.61315,327581299.6397521,252720004.7012876,953078769.5841608,953078769.5841608,2024-07-15T10:14:50.000Z
10,74,Dogecoin,DOGE,dogecoin,0.068947846,10700974985.596909,742570365.5943006,155203906383.70526,155203906383.70526,,2013-12-15T00:00:00.000Z
11,3957,UNUS SED LEO,LEO,unus-sed-leo,9.611834740590382,8844131568,598523.9446,920129382.9,985239504,,2019-05-21T00:00:00.000Z
12,1437,Zcash,ZEC,zcash,497.24925272391073,8347336775.679297,383501462.18621147,16787027.29,16787027.29,21000000,2016-10-29T00:00:00.000Z
13,328,Monero,XMR,monero,355.7054534002795,6680910030.016881,103370894.7103792,18782141.13995822,18782141.13995822,,2014-05-21T00:00:00.000Z
14,1975,Chainlink,LINK,chainlink,8.363890952845443,6257026574,189933682.4465908,748099970.4,1000000000,1000000000,2017-09-20T00:00:00.000Z
15,512,Stellar,XLM,stellar,0.1781260080161594,6087438312.390289,133748283.77912036,34174898883.031406,50001786839.912476,50001806812,2014-08-05T00:00:00.000Z
16,2010,Cardano,ADA,cardano,0.16464869771985252,6008014418.109585,213434220.57549557,36489899411.97189,44993202652.386566,45000000000,2017-10-01T00:00:00.000Z
17,37263,Canton,CC,canton-network,0.11894308904135821,4656156978.499743,12347042.67370367,39146090924.88535,39146090924.88535,,2025-07-08T04:07:45.000Z
18,4943,Dai,DAI,multi-collateral-dai,0.9997325655329957,4639396896.833623,35957274.43936529,4640637963.373919,4640637963.373919,,2019-11-22T00:00:00.000Z
19,1831,Bitcoin Cash,BCH,bitcoin-cash,209.7691166324517,4209164163.611786,97648281.3,20065700,20065700,21000000,2017-07-23T00:00:00.000Z
20,36148,World Liberty Financial USD,USD1,usd1,0.9986785369941851,4140132708.910278,1025191854.9401947,4145610980.4574523,4145610980.4574523,,2025-04-13T05:37:56.000Z
21,29470,Ethena USDe,USDe,ethena-usde,0.999934212,3988210444.4521685,29326665.05239705,3988472837.759209,3988472837.759209,,2024-02-20T11:05:01.000Z
22,11419,Gram (prev. Toncoin),GRAM,gram,1.454654308954721,3976266017.615601,50053458.44331982,2733478320.682835,5219829702.957956,,2021-08-26T13:40:22.000Z
23,2,Litecoin,LTC,litecoin,46.35348404955761,3588814970.129433,257144822.20434618,77422766.45899035,84000000,84000000,2013-04-28T00:00:00.000Z
24,33793,Global Dollar,USDG,global-dollar-usdg,0.9999574515925542,3265385640,236826345.21644983,3265524582.796733,3265524582.796733,,2024-11-05T04:54:47.000Z
25,4642,Hedera,HBAR,hedera,0.070764138,3098839181.1201706,42767070.09469657,43791096250.844505,50000000000,50000000000,2019-09-17T00:00:00.000Z
26,20947,Sui,SUI,sui,0.717648015,2908149511.343546,209661222.04449454,4052334085.342099,10000000000,10000000000,2022-07-12T08:03:11.000Z
27,27772,PayPal USD,PYUSD,paypal-usd,0.9995644154130634,2690126172.280377,75042583.04482886,2691298460.408577,2691298460.408577,,2023-08-21T14:30:00.000Z
28,5805,Avalanche,AVAX,avalanche,6.200982010322602,2677410164,273291543.95101476,431771961.1772119,463441061.1772119,715748719,2020-07-13T00:00:00.000Z
29,3635,Cronos,CRO,cronos,0.05653053,2672479273.5467844,6311951.713,47274972680.388855,98808311135.61748,1E+11,2018-12-14T00:00:00.000Z
30,5176,Tether Gold,XAUT,tether-gold,4070.436019115305,2494459497.1251073,141310333.21054894,612823.6595,707747.089,,2020-02-07T00:00:00.000Z
31,5994,Shiba Inu,SHIB,shiba-inu,4.143875576285343e-06,2441749127.4936156,55530879.00533611,589242867586881.2,589499570592486.5,589552695333683.0,2020-08-01T00:00:00.000Z
32,7083,Uniswap,UNI,uniswap,3.8267400665682754,2392460904.8388753,153932256.75531414,625195561.5538775,892330420.0329479,,2020-09-17T00:00:00.000Z
33,6535,NEAR Protocol,NEAR,near-protocol,1.8106591009901518,2356963006.1109915,134457398.2002034,1301715494,1301715494,,2020-08-11T00:00:00.000Z
34,22974,Bittensor,TAO,bittensor,189.3459432850863,2112743789.9001517,106052434.98371233,11158114.89406523,21000000,21000000,2023-03-06T05:20:00.000Z
35,21159,Ondo,ONDO,ondo-finance,0.3920868074215896,1909200307.6623333,117342379.43757857,4869330647,10000000000,10000000000,2024-01-18T12:06:25.000Z
36,33251,World Liberty Financial,WLFI,world-liberty-financial-wlfi,0.057945092,1841181240.6287293,88426907.54191947,31774584760,1E+11,1E+11,2024-10-01T02:34:47.000Z
37,4705,PAX Gold,PAXG,pax-gold,4066.9880654289286,1809261283.6666543,120001641.21636538,444865.1569,444865.1569,,2019-09-26T00:00:00.000Z
38,3897,OKB,OKB,okb,81.88612335514553,1719608590.4580562,17139178.11268918,21000000,21000000,21000000,2019-04-30T00:00:00.000Z
39,36341,Aster,ASTER,aster,0.6355120269774854,1715900963.0530446,47125809.62652437,2700029094.9864817,7816197874.516728,8000000000,2025-04-25T06:46:11.000Z
40,34387,Ripple USD,RLUSD,ripple-usd,1.0004258853554555,1600635873.3511596,160090927.44295973,1599954476.170363,1599954476.170363,,2024-12-18T07:22:18.000Z
41,35491,MemeCore,M,memecore,1.1867947959718876,1575518647.6578794,14600158.52901356,1327540913.5643022,5394857686.0715275,10000000000,2025-07-03T09:16:58.000Z
42,19891,USDD,USDD,usdd,0.9990107573545378,1537052129.8346465,18850650.02007803,1538574153,1538574153,,2022-05-02T08:07:12.000Z
43,7278,Aave,AAVE,aave,94.83676612726367,1462150104.304036,169556704.4953192,15417544.94603857,16000000,,2020-10-02T00:00:00.000Z
44,33038,Sky,SKY,sky,0.057998397,1354651478.3444877,26566694.64747394,23356705591.335705,23462665147.365967,23462665147,2024-09-18T13:25:16.000Z
45,6636,Polkadot,DOT,polkadot-new,0.7980087342022876,1352450518.1113524,64706683.44857127,1694781598.4286196,1694781598.4286196,2100000000,2020-08-19T00:00:00.000Z
46,27075,Mantle,MNT,mantle,0.40958590124937744,1352573220.862108,68994126.29738797,3302294383,6219316794.889999,6219316795,2023-07-17T11:00:31.000Z
47,13502,Worldcoin,WLD,worldcoin-org,0.3761180589572962,1338406099.8376255,148252249.03299123,3558473378.141053,10000000000,,2021-10-28T15:31:43.000Z
48,8916,Internet Computer,ICP,internet-computer,2.1496043976031776,1193314248.3565862,31852513.51693517,555132027.8685414,555132027.8685414,,2021-03-23T00:00:00.000Z
49,11092,Bitget Token,BGB,bitget-token-new,1.6536229280673096,1155195303.4319477,6043541.446,698584474.0203834,910920874.6481038,919992036,2021-07-29T00:00:00.000Z
50,24478,Pepe,PEPE,pepe,2.711051064046526e-06,1121758303,129694004.75007573,413772473088271.1,413772473088271.1,413772473088271.1,2023-04-17T06:18:08.000Z
51,39120,United Stables,U,united-stables,0.9998080153073314,1068004028.0027332,101976303.40566714,1068209108,1068209108,,2025-12-12T08:13:26.000Z
52,1321,Ethereum Classic,ETC,ethereum-classic,6.651867895929325,1048475979.9813843,38502503.16910308,157621287.19107747,210700000,210700000,2016-07-24T00:00:00.000Z
53,34104,Morpho,MORPHO,morpho,1.9467509527798248,1005205198.7696329,15390177.45331147,516350176.8596902,999999999.8010328,1000000000,2024-11-21T10:30:00.000Z
54,38837,Audiera,BEAT,audiera,3.253537228,1006210611.204507,50608475.19164173,309266666,1000000000,1000000000,2025-10-30T05:07:08.000Z
55,38892,Stable,STABLE,stable,0.037950972,940208650.1927812,13307144.20370687,24774296639,1E+11,,2025-11-06T14:24:37.000Z
56,35697,Pi,PI,pi,0.083139076,909688801.9483387,13849950.46757804,10941771822.223263,1E+11,1E+11,2025-02-11T07:16:10.000Z
57,2087,KuCoin Token,KCS,kucoin-token,6.493318333129747,890591214.2606357,3365605.782,137155021.29577178,142155021.29577178,200000000,2017-10-24T00:00:00.000Z
